	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.0001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7196969696969697	0.7317073170731707	0.7	0.422778874701011	0.6551724137931034	0.5333333333333333	0.7857142857142857	0.3285735198712123
14	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.0001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7196969696969697	0.7317073170731707	0.7	0.422778874701011	0.6551724137931034	0.5333333333333333	0.7857142857142857	0.3285735198712123
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7196969696969697	0.7317073170731707	0.7	0.422778874701011	0.6206896551724138	0.5333333333333333	0.7142857142857143	0.25123411544939434
21	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.7424242424242424	0.9146341463414634	0.46	0.433649224521691	0.6206896551724138	0.8	0.42857142857142855	0.24688535993934704
16	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7196969696969697	0.7682926829268293	0.64	0.4067578356618467	0.6206896551724138	0.6	0.6428571428571429	0.24285714285714285
5	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.7424242424242424	0.8536585365853658	0.56	0.4366264191555064	0.6206896551724138	0.7333333333333333	0.5	0.24030003692073737
7	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.75	0.8902439024390244	0.52	0.45083141780062697	0.6206896551724138	0.7333333333333333	0.5	0.24030003692073737
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.0001, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.7121212121212122	0.8170731707317073	0.54	0.3718803649121595	0.6206896551724138	0.6666666666666666	0.5714285714285714	0.23923718823467274
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.7196969696969697	0.8292682926829268	0.54	0.3870983519017035	0.6206896551724138	0.6666666666666666	0.5714285714285714	0.23923718823467274
19	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': None, 'random_state': 1618, 'n_jobs': 4}	0.6666666666666666	1.0	0.12	0.2794552524023088	0.5862068965517241	0.9333333333333333	0.21428571428571427	0.2139203233961298
20	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7575757575757576	0.7926829268292683	0.7	0.48911702041770017	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
18	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7348484848484849	0.7804878048780488	0.66	0.4388319302301643	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
10	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
12	{'penalty': 'l2', 'solver': 'liblinear', 'C': 100, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
24	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
26	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 100, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
8	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.7727272727272727	0.7926829268292683	0.74	0.5255530059467082	0.5862068965517241	0.5333333333333333	0.6428571428571429	0.17703551929365782
