	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
7	{'reg_param': 0.7}	0.6515151515151515	0.6829268292682927	0.6	0.27769320390686053	0.6785714285714286	0.7857142857142857	0.5714285714285714	0.36563621206356534
8	{'reg_param': 0.8}	0.6590909090909091	0.6585365853658537	0.66	0.309925390239455	0.6785714285714286	0.7857142857142857	0.5714285714285714	0.36563621206356534
9	{'reg_param': 0.9}	0.6136363636363636	0.6097560975609756	0.62	0.22313317973036045	0.6785714285714286	0.7142857142857143	0.6428571428571429	0.35805743701971643
5	{'reg_param': 0.5}	0.6515151515151515	0.7439024390243902	0.5	0.24830183562230268	0.6428571428571429	0.7857142857142857	0.5	0.29814239699997197
6	{'reg_param': 0.6}	0.6590909090909091	0.7317073170731707	0.54	0.27280741867869956	0.6428571428571429	0.7857142857142857	0.5	0.29814239699997197
1	{'reg_param': 0.1}	0.6590909090909091	0.8414634146341463	0.36	0.23054015730230154	0.6071428571428571	0.7857142857142857	0.42857142857142855	0.22941573387056177
2	{'reg_param': 0.2}	0.6515151515151515	0.8048780487804879	0.4	0.2231518495721684	0.6071428571428571	0.7857142857142857	0.42857142857142855	0.22941573387056177
3	{'reg_param': 0.3}	0.6590909090909091	0.8048780487804879	0.42	0.2428713730223138	0.6071428571428571	0.7857142857142857	0.42857142857142855	0.22941573387056177
4	{'reg_param': 0.4}	0.6439393939393939	0.7682926829268293	0.44	0.21835006111232153	0.6071428571428571	0.7857142857142857	0.42857142857142855	0.22941573387056177
0	{'reg_param': 0}	0.7575757575757576	0.8902439024390244	0.54	0.46861888410155367	0.5	0.6428571428571429	0.35714285714285715	0.0
