	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
23	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9393939393939394	0.9146341463414634	0.98	0.8780850620089349	0.6428571428571429	0.7142857142857143	0.5714285714285714	0.28867513459481287
13	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.8939393939393939	0.8902439024390244	0.9	0.779666547283578	0.6428571428571429	0.7142857142857143	0.5714285714285714	0.28867513459481287
39	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
9	{'n_estimators': 100, 'max_depth': 4, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.7727272727272727	0.7926829268292683	0.74	0.5255530059467082	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
29	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
27	{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.8181818181818182	0.8170731707317073	0.82	0.6252884901764825	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
37	{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.8181818181818182	0.8170731707317073	0.82	0.6252884901764825	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
19	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
17	{'n_estimators': 100, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.8181818181818182	0.8292682926829268	0.8	0.6208455839480344	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
7	{'n_estimators': 100, 'max_depth': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.7803030303030303	0.8048780487804879	0.74	0.5391874312097699	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.2857142857142857
