	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
59	{'C': 100, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
46	{'C': 10, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
58	{'C': 100, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
57	{'C': 100, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
56	{'C': 100, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
55	{'C': 100, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
50	{'C': 10, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
37	{'C': 1, 'kernel': 'rbf', 'gamma': 0.2, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
38	{'C': 1, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
39	{'C': 1, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
40	{'C': 1, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
41	{'C': 1, 'kernel': 'rbf', 'gamma': 0.8, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
49	{'C': 10, 'kernel': 'rbf', 'gamma': 0.5, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
48	{'C': 10, 'kernel': 'rbf', 'gamma': 0.4, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
47	{'C': 10, 'kernel': 'rbf', 'gamma': 0.3, 'random_state': 1618}	1.0	1.0	1.0	1.0	0.85	1.0	0.7692307692307693	0.7337993857053428
