	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
12100	{'max_depth': 8, 'eta': 1, 'gamma': 0, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.875	0.6428571428571429	1.0	0.7342823073671614
12256	{'max_depth': 8, 'eta': 1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.2, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.5714285714285714	1.0	0.6813851438692469
8195	{'max_depth': 6, 'eta': 0.3, 'gamma': 0.01, 'subsample': 0.4, 'lambda': 0.1, 'colsample_bytree': 0.4, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	0.973404255319149	0.948051948051948	0.990990990990991	0.9452006636382958	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
5700	{'max_depth': 3, 'eta': 1, 'gamma': 0, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
6021	{'max_depth': 3, 'eta': 1, 'gamma': 0.1, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
11335	{'max_depth': 8, 'eta': 0.3, 'gamma': 0, 'subsample': 1, 'lambda': 0.1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
5708	{'max_depth': 3, 'eta': 1, 'gamma': 0, 'subsample': 0.8, 'lambda': 1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
11495	{'max_depth': 8, 'eta': 0.3, 'gamma': 0.01, 'subsample': 1, 'lambda': 0.1, 'colsample_bytree': 0.8, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
5860	{'max_depth': 3, 'eta': 1, 'gamma': 0.01, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.4415584415584415, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
5701	{'max_depth': 3, 'eta': 1, 'gamma': 0, 'subsample': 0.8, 'lambda': 0.1, 'colsample_bytree': 0.6, 'scale_pos_weight': 1.200649175054246, 'seed': 1618, 'nthread': 4, 'objective': 'binary:logistic'}	1.0	1.0	1.0	1.0	0.85	0.6428571428571429	0.9615384615384616	0.6657502859356828
